Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	PCR Ribotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number	No. N's	Assembly Barcode	Version
CLO_AA7534AA	ST11	SRR5410548;ILLUMINA;Paired;;SRX2702663;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675483	SRS2096679	2017-04-06	2017-04-04	CLO_AA7534AA	Assembled	77	189218	3947218	Clostridioides difficile;100.0%	77	9989	CLO_BA2776AA_AS	3.61
CLO_AA7535AA	ST11	SRR5410547;ILLUMINA;Paired;;SRX2702662;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675484	SRS2096678	2017-04-06	2017-04-04	CLO_AA7535AA	Assembled	74	186993	4039364	Clostridioides difficile;95.41%	84	10140	CLO_BA2775AA_AS	3.61
CLO_AA7536AA	ST11	SRR5410546;ILLUMINA;Paired;;SRX2702661;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675485	SRS2096677	2017-04-06	2017-04-04	CLO_AA7536AA	Assembled	63	192864	4038487	Clostridioides difficile;96.97%	77	9934	CLO_BA2774AA_AS	3.61
CLO_AA7537AA	ST11	SRR5410545;ILLUMINA;Paired;;SRX2702660;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675486	SRS2096676	2017-04-06	2017-04-04	CLO_AA7537AA	Assembled	74	259089	3955186	Clostridioides difficile;100.0%	75	10476	CLO_BA2773AA_AS	3.61
CLO_AA7538AA	ST11	SRR5410544;ILLUMINA;Paired;;SRX2702659;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675487	SRS2096675	2017-04-06	2017-04-04	CLO_AA7538AA	Assembled	61	164249	3998848	Clostridioides difficile;99.13%	84	10907	CLO_BA2772AA_AS	3.61
CLO_AA7539AA	ST11	SRR5410543;ILLUMINA;Paired;;SRX2702658;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675488	SRS2096674	2017-04-06	2017-04-04	CLO_AA7539AA	Assembled	78	210875	3916035	Clostridioides difficile;100.0%	81	9231	CLO_BA2771AA_AS	3.61
CLO_AA7540AA	ST11	SRR5410542;ILLUMINA;Paired;;SRX2702657;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675489	SRS2096673	2017-04-06	2017-04-04	CLO_AA7540AA	Assembled	63	230208	3974533	Clostridioides difficile;100.0%	76	10668	CLO_BA2770AA_AS	3.61
CLO_AA7541AA	ST11	SRR5410541;ILLUMINA;Paired;;SRX2702656;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675490	SRS2096672	2017-04-06	2017-04-04	CLO_AA7541AA	Assembled	62	188611	3978300	Clostridioides difficile;100.0%	78	8842	CLO_BA2769AA_AS	3.61
CLO_AA7542AA	ST11	SRR5410540;ILLUMINA;Paired;;SRX2702655;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675491	SRS2096671	2017-04-06	2017-04-04	CLO_AA7542AA	Assembled	53	177565	4007449	Clostridioides difficile;100.0%	81	11871	CLO_BA2360AA_AS	3.61
CLO_AA7543AA	ST11	SRR5410539;ILLUMINA;Paired;;SRX2702654;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675492	SRS2096670	2017-04-06	2017-04-04	CLO_AA7543AA	Assembled	69	259089	3901758	Clostridioides difficile;100.0%	63	6046	CLO_BA2768AA_AS	3.61
CLO_AA7544AA	ST11	SRR5410538;ILLUMINA;Paired;;SRX2702653;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675493	SRS2096669	2017-04-06	2017-04-04	CLO_AA7544AA	Assembled	56	188936	3946812	Clostridioides difficile;100.0%	79	9834	CLO_BA2767AA_AS	3.61
CLO_AA7545AA	ST11	SRR5410537;ILLUMINA;Paired;;SRX2702652;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675494	SRS2096668	2017-04-06	2017-04-04	CLO_AA7545AA	Assembled	47	164177	4073135	Clostridioides difficile;98.26%	83	13406	CLO_BA2766AA_AS	3.61
CLO_AA7546AA	ST11	SRR5410536;ILLUMINA;Paired;;SRX2702651;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675495	SRS2096667	2017-04-06	2017-04-04	CLO_AA7546AA	Assembled	69	164249	3897273	Clostridioides difficile;100.0%	83	9593	CLO_BA2765AA_AS	3.61
CLO_AA7547AA	ST11	SRR5410535;ILLUMINA;Paired;;SRX2702650;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675496	SRS2096666	2017-04-06	2017-04-04	CLO_AA7547AA	Assembled	46	164205	3905711	Clostridioides difficile;100.0%	83	10596	CLO_BA2764AA_AS	3.61
CLO_AA7548AA	ST11	SRR5410534;ILLUMINA;Paired;;SRX2702649;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675497	SRS2096665	2017-04-06	2017-04-04	CLO_AA7548AA	Assembled	49	230581	3904139	Clostridioides difficile;100.0%	68	9266	CLO_BA2763AA_AS	3.61
CLO_AA7549AA	ST11	SRR5410533;ILLUMINA;Paired;;SRX2702648;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675498	SRS2096664	2017-04-06	2017-04-04	CLO_AA7549AA	Assembled	55	188887	4072695	Clostridioides difficile;99.0%	77	8351	CLO_BA2762AA_AS	3.61
CLO_AA7550AA	ST11	SRR5410532;ILLUMINA;Paired;;SRX2702647;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675499	SRS2096663	2017-04-06	2017-04-04	CLO_AA7550AA	Assembled	64	201014	3912606	Clostridioides difficile;98.99%	77	8982	CLO_BA2761AA_AS	3.61
CLO_AA7551AA	ST11	SRR5410531;ILLUMINA;Paired;;SRX2702646;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675500	SRS2096662	2017-04-06	2017-04-04	CLO_AA7551AA	Assembled	65	188569	3911348	Clostridioides difficile;100.0%	71	9131	CLO_BA2760AA_AS	3.61
CLO_AA7552AA	ST11	SRR5410530;ILLUMINA;Paired;;SRX2702645;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675501	SRS2096661	2017-04-06	2017-04-04	CLO_AA7552AA	Assembled	47	160541	3912910	Clostridioides difficile;99.07%	85	9704	CLO_BA2759AA_AS	3.61
CLO_AA7553AA	ST11	SRR5410529;ILLUMINA;Paired;;SRX2702644;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675502	SRS2096660	2017-04-06	2017-04-04	CLO_AA7553AA	Assembled	39	188121	3878853	Clostridioides difficile;100.0%	74	10563	CLO_BA2758AA_AS	3.61
CLO_AA7554AA	ST11	SRR5410528;ILLUMINA;Paired;;SRX2702643;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675503	SRS2096659	2017-04-06	2017-04-04	CLO_AA7554AA	Assembled	39	163857	3949196	Clostridioides difficile;100.0%	80	11683	CLO_BA2757AA_AS	3.61
CLO_AA7555AA	ST11	SRR5410527;ILLUMINA;Paired;;SRX2702642;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675504	SRS2096658	2017-04-06	2017-04-04	CLO_AA7555AA	Assembled	36	164177	3910823	Clostridioides difficile;100.0%	80	12374	CLO_BA2756AA_AS	3.61
CLO_AA7556AA	ST11	SRR5410526;ILLUMINA;Paired;;SRX2702641;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675505	SRS2096657	2017-04-06	2017-04-04	CLO_AA7556AA	Assembled	40	164573	3947969	Clostridioides difficile;100.0%	83	10632	CLO_BA2755AA_AS	3.61
CLO_AA7557AA	ST11	SRR5410525;ILLUMINA;Paired;;SRX2702640;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675506	SRS2096656	2017-04-06	2017-04-04	CLO_AA7557AA	Assembled	38	248232	4067241	Clostridioides difficile;100.0%	78	10703	CLO_BA2754AA_AS	3.61
CLO_AA7558AA	ST11	SRR5410524;ILLUMINA;Paired;;SRX2702639;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675507	SRS2096655	2017-04-06	2017-04-04	CLO_AA7558AA	Assembled	39	164249	3941885	Clostridioides difficile;100.0%	67	10387	CLO_BA2753AA_AS	3.61
CLO_AA7559AA	ST11	SRR5410523;ILLUMINA;Paired;;SRX2702638;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675508	SRS2096654	2017-04-06	2017-04-04	CLO_AA7559AA	Assembled	56	164253	4003491	Clostridioides difficile;100.0%	81	11099	CLO_BA2752AA_AS	3.61
CLO_AA7560AA	ST11	SRR5410522;ILLUMINA;Paired;;SRX2702637;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675509	SRS2096653	2017-04-06	2017-04-04	CLO_AA7560AA	Assembled	53	259089	3990521	Clostridioides difficile;100.0%	75	12229	CLO_BA2751AA_AS	3.61
CLO_AA7561AA	ST11	SRR5410521;ILLUMINA;Paired;;SRX2702636;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675510	SRS2096652	2017-04-06	2017-04-04	CLO_AA7561AA	Assembled	59	259089	3905559	Clostridioides difficile;100.0%	70	8187	CLO_BA2750AA_AS	3.61
CLO_AA7562AA	ST11	SRR5410520;ILLUMINA;Paired;;SRX2702635;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675511	SRS2096651	2017-04-06	2017-04-04	CLO_AA7562AA	Assembled	51	189070	4002301	Clostridioides difficile;100.0%	73	9393	CLO_BA2749AA_AS	3.61
CLO_AA7563AA	ST11	SRR5410519;ILLUMINA;Paired;;SRX2702634;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675512	SRS2096650	2017-04-06	2017-04-04	CLO_AA7563AA	Assembled	47	165010	3987002	Clostridioides difficile;100.0%	74	10450	CLO_BA2748AA_AS	3.61
CLO_AA7564AA	ST11	SRR5410518;ILLUMINA;Paired;;SRX2702633;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675513	SRS2096649	2017-04-06	2017-04-04	CLO_AA7564AA	Assembled	62	189070	3942505	Clostridioides difficile;99.03%	75	9958	CLO_BA2747AA_AS	3.61
CLO_AA7565AA	ST11	SRR5410517;ILLUMINA;Paired;;SRX2702632;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675514	SRS2096648	2017-04-06	2017-04-04	CLO_AA7565AA	Assembled	54	210884	3937123	Clostridioides difficile;100.0%	88	12150	CLO_BA2746AA_AS	3.61
CLO_AA7566AA	ST11	SRR5410516;ILLUMINA;Paired;;SRX2702631;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675515	SRS2096647	2017-04-06	2017-04-04	CLO_AA7566AA	Assembled	49	210918	3901222	Clostridioides difficile;100.0%	65	9477	CLO_BA2745AA_AS	3.61
CLO_AA7567AA	ST11	SRR5410515;ILLUMINA;Paired;;SRX2702630;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675516	SRS2096646	2017-04-06	2017-04-04	CLO_AA7567AA	Assembled	58	188900	3959976	Clostridioides difficile;100.0%	75	8371	CLO_BA2744AA_AS	3.61
CLO_AA7568AA	ST11	SRR5410514;ILLUMINA;Paired;;SRX2702629;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675517	SRS2096645	2017-04-06	2017-04-04	CLO_AA7568AA	Assembled	64	211477	3991279	Clostridioides difficile;100.0%	73	10091	CLO_BA2743AA_AS	3.61
CLO_AA7569AA	ST11	SRR5410513;ILLUMINA;Paired;;SRX2702628;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675518	SRS2096644	2017-04-06	2017-04-04	CLO_AA7569AA	Assembled	62	196510	4018271	Clostridioides difficile;96.91%	80	8048	CLO_BA2742AA_AS	3.61
CLO_AA7570AA	ST11	SRR5410512;ILLUMINA;Paired;;SRX2702627;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675519	SRS2096643	2017-04-06	2017-04-04	CLO_AA7570AA	Assembled	45	172766	4019418	Clostridioides difficile;96.52%	91	11195	CLO_BA2741AA_AS	3.61
CLO_AA7571AA	ST11	SRR5410511;ILLUMINA;Paired;;SRX2702626;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675520	SRS2096642	2017-04-06	2017-04-04	CLO_AA7571AA	Assembled	50	184491	3906747	Clostridioides difficile;100.0%	79	11013	CLO_BA2740AA_AS	3.61
CLO_AA7572AA	ST11	SRR5410510;ILLUMINA;Paired;;SRX2702625;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675521	SRS2096641	2017-04-06	2017-04-04	CLO_AA7572AA	Assembled	58	210918	3944618	Clostridioides difficile;100.0%	75	9445	CLO_BA2739AA_AS	3.61
CLO_AA7573AA	ST11	SRR5410509;ILLUMINA;Paired;;SRX2702624;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675522	SRS2096640	2017-04-06	2017-04-04	CLO_AA7573AA	Assembled	57	197216	3903195	Clostridioides difficile;100.0%	78	10103	CLO_BA2738AA_AS	3.61
CLO_AA7574AA	ST11	SRR5410508;ILLUMINA;Paired;;SRX2702623;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675523	SRS2096639	2017-04-06	2017-04-04	CLO_AA7574AA	Assembled	46	211862	3946247	Clostridioides difficile;100.0%	68	8856	CLO_BA2737AA_AS	3.61
CLO_AA7575AA	ST11	SRR5410507;ILLUMINA;Paired;;SRX2702622;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675524	SRS2096638	2017-04-06	2017-04-04	CLO_AA7575AA	Assembled	38	164249	4002284	Clostridioides difficile;100.0%	77	11458	CLO_BA2736AA_AS	3.61
CLO_AA7576AA	ST11	SRR5410506;ILLUMINA;Paired;;SRX2702621;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675525	SRS2096637	2017-04-06	2017-04-04	CLO_AA7576AA	Assembled	46	148598	4015702	Clostridioides difficile;100.0%	84	11283	CLO_BA2735AA_AS	3.61
CLO_AA7577AA	ST11	SRR5410505;ILLUMINA;Paired;;SRX2702620;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675526	SRS2096636	2017-04-06	2017-04-04	CLO_AA7577AA	Assembled	39	163933	3968392	Clostridioides difficile;100.0%	82	11115	CLO_BA2734AA_AS	3.61
CLO_AA7578AA	ST11	SRR5410504;ILLUMINA;Paired;;SRX2702619;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675527	SRS2096635	2017-04-06	2017-04-04	CLO_AA7578AA	Assembled	40	163584	3900945	Clostridioides difficile;100.0%	74	10827	CLO_BA2733AA_AS	3.61
CLO_AA7579AA	ST11	SRR5410503;ILLUMINA;Paired;;SRX2702618;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675528	SRS2096634	2017-04-06	2017-04-04	CLO_AA7579AA	Assembled	42	152910	3945096	Clostridioides difficile;100.0%	74	10442	CLO_BA2732AA_AS	3.61
CLO_AA7580AA	ST11	SRR5410502;ILLUMINA;Paired;;SRX2702617;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675529	SRS2096633	2017-04-06	2017-04-04	CLO_AA7580AA	Assembled	49	231032	3903021	Clostridioides difficile;100.0%	71	9940	CLO_BA2731AA_AS	3.61
CLO_AA7581AA	ST11	SRR5410501;ILLUMINA;Paired;;SRX2702616;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675530	SRS2096632	2017-04-06	2017-04-04	CLO_AA7581AA	Assembled	46	188935	3946974	Clostridioides difficile;100.0%	79	11354	CLO_BA2730AA_AS	3.61
CLO_AA7582AA	ST11	SRR5410500;ILLUMINA;Paired;;SRX2702615;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675531	SRS2096631	2017-04-06	2017-04-04	CLO_AA7582AA	Assembled	46	189234	3903056	Clostridioides difficile;100.0%	79	10157	CLO_BA2729AA_AS	3.61
CLO_AA7583AA	ST11	SRR5410499;ILLUMINA;Paired;;SRX2702614;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675532	SRS2096630	2017-04-06	2017-04-04	CLO_AA7583AA	Assembled	54	230589	3901642	Clostridioides difficile;100.0%	73	9368	CLO_BA2728AA_AS	3.61
CLO_AA7584AA	ST11	SRR5410498;ILLUMINA;Paired;;SRX2702613;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675533	SRS2096629	2017-04-06	2017-04-04	CLO_AA7584AA	Assembled	68	188886	3952586	Clostridioides difficile;99.07%	77	10105	CLO_BA2727AA_AS	3.61
CLO_AA7585AA	ST11	SRR5410497;ILLUMINA;Paired;;SRX2702612;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675534	SRS2096628	2017-04-06	2017-04-04	CLO_AA7585AA	Assembled	71	188950	3996955	Clostridioides difficile;97.01%	82	9312	CLO_BA2726AA_AS	3.61
CLO_AA7586AA	ST11	SRR5410496;ILLUMINA;Paired;;SRX2702611;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675535	SRS2096627	2017-04-06	2017-04-04	CLO_AA7586AA	Assembled	76	188886	3886621	Clostridioides difficile;100.0%	74	8627	CLO_BA2725AA_AS	3.61
CLO_AA7587AA	ST11	SRR5410495;ILLUMINA;Paired;;SRX2702610;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675536	SRS2096626	2017-04-06	2017-04-04	CLO_AA7587AA	Assembled	53	197326	3900092	Clostridioides difficile;100.0%	73	10542	CLO_BA2724AA_AS	3.61
CLO_AA7588AA	ST11	SRR5410494;ILLUMINA;Paired;;SRX2702609;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675537	SRS2096625	2017-04-06	2017-04-04	CLO_AA7588AA	Assembled	55	230592	3903136	Clostridioides difficile;100.0%	73	8393	CLO_BA2723AA_AS	3.61
CLO_AA7589AA	ST11	SRR5410493;ILLUMINA;Paired;;SRX2702608;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675538	SRS2096624	2017-04-06	2017-04-04	CLO_AA7589AA	Assembled	46	196787	3901447	Clostridioides difficile;100.0%	76	12297	CLO_BA2722AA_AS	3.61
CLO_AA7590AA	ST11	SRR5410492;ILLUMINA;Paired;;SRX2702607;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675539	SRS2096623	2017-04-06	2017-04-04	CLO_AA7590AA	Assembled	42	164249	3986105	Clostridioides difficile;100.0%	71	10616	CLO_BA2721AA_AS	3.61
CLO_AA7591AA	ST11	SRR5410491;ILLUMINA;Paired;;SRX2702606;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675540	SRS2096622	2017-04-06	2017-04-04	CLO_AA7591AA	Assembled	59	164249	3905194	Clostridioides difficile;100.0%	78	9646	CLO_BA2720AA_AS	3.61
CLO_AA7592AA	ST11	SRR5410490;ILLUMINA;Paired;;SRX2702605;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675541	SRS2096621	2017-04-06	2017-04-04	CLO_AA7592AA	Assembled	69	188541	3889203	Clostridioides difficile;100.0%	81	9779	CLO_BA2719AA_AS	3.61
CLO_AA7593AA	ST11	SRR5410489;ILLUMINA;Paired;;SRX2702604;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675542	SRS2096620	2017-04-06	2017-04-04	CLO_AA7593AA	Assembled	59	211668	4073591	Clostridioides difficile;100.0%	72	9337	CLO_BA2718AA_AS	3.61
CLO_AA7594AA	ST11	SRR5410488;ILLUMINA;Paired;;SRX2702603;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675543	SRS2096619	2017-04-06	2017-04-04	CLO_AA7594AA	Assembled	55	200563	3912841	Clostridioides difficile;100.0%	78	11382	CLO_BA2717AA_AS	3.61
CLO_AA7595AA	ST11	SRR5410487;ILLUMINA;Paired;;SRX2702602;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675544	SRS2096618	2017-04-06	2017-04-04	CLO_AA7595AA	Assembled	60	163805	4128203	Clostridioides difficile;100.0%	67	9507	CLO_BA2381AA_AS	3.61
CLO_AA7596AA	ST11	SRR5410486;ILLUMINA;Paired;;SRX2702601;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675545	SRS2096617	2017-04-06	2017-04-04	CLO_AA7596AA	Assembled	79	188914	4005767	Clostridioides difficile;100.0%	83	11127	CLO_BA2716AA_AS	3.61
CLO_AA7597AA	ST11	SRR5410485;ILLUMINA;Paired;;SRX2702600;SRA	Human	Human	Homo sapiens; Faecal	2014	4	24		Europe	United Kingdom	Scotland				55.86	-4.25	University of Glasgow	78		PRJNA381384	SRP102966	SAMN06675546	SRS2096616	2017-04-06	2017-04-04	CLO_AA7597AA	Assembled	64	205237	3945087	Clostridioides difficile;100.0%	75	10769	CLO_BA2231AA_AS	3.61
